custom_id,choice_id,choice,rent,norm_rent,puma,built_since_jan2010,bedrooms,hh_income,nPersons,income_norm_rent,income_bedrooms,nPerson_bedrooms
9,4,0,300.0,-1.2212600201141253,03100,0,1.0,41700.0,2,-50926.54283875902,41700.0,2.0
9,5,0,550.0,-0.9093554915623022,03100,0,2.0,41700.0,2,-37920.123998148,83400.0,4.0
9,6,0,450.0,-0.8299780687017595,03100,0,1.0,41700.0,2,-34610.08546486337,41700.0,2.0
9,7,0,300.0,-1.2212600201141253,03100,0,1.0,41700.0,2,-50926.54283875902,41700.0,2.0
9,8,0,450.0,-0.8299780687017595,03100,0,1.0,41700.0,2,-34610.08546486337,41700.0,2.0
9,9,0,550.0,-0.9093554915623022,03100,0,2.0,41700.0,2,-37920.123998148,83400.0,4.0
10,1,1,600.0,-0.4386961172893936,03001,0,1.0,52400.0,2,-22987.676545964227,52400.0,2.0
10,2,0,800.0,-0.38029631654466206,03001,0,3.0,52400.0,2,-19927.52698694029,157200.0,6.0
10,3,0,800.0,-0.38029631654466206,03001,0,3.0,52400.0,2,-19927.52698694029,157200.0,6.0
10,4,0,500.0,-0.6995507515643041,03001,0,1.0,52400.0,2,-36656.45938196954,52400.0,2.0
10,5,0,800.0,-0.38029631654466206,03001,0,3.0,52400.0,2,-19927.52698694029,157200.0,6.0
10,6,0,800.0,-0.38029631654466206,03001,0,3.0,52400.0,2,-19927.52698694029,157200.0,6.0
10,7,0,500.0,-0.6995507515643041,03001,0,1.0,52400.0,2,-36656.45938196954,52400.0,2.0
10,8,0,800.0,-0.38029631654466206,03001,0,3.0,52400.0,2,-19927.52698694029,157200.0,6.0
10,9,0,500.0,-0.6995507515643041,03001,0,1.0,52400.0,2,-36656.45938196954,52400.0,2.0
11,1,1,1100.0,0.8655770540851593,03203,0,1.0,100000.0,1,86557.70540851593,100000.0,1.0
11,2,0,650.0,-0.6756901334992359,03203,0,3.0,100000.0,1,-67569.0133499236,300000.0,3.0
11,3,0,1200.0,1.1264316883600698,03203,0,1.0,100000.0,1,112643.16883600698,100000.0,1.0
11,4,0,600.0,-0.7741547391507605,03203,1,3.0,100000.0,1,-77415.47391507604,300000.0,3.0
11,5,0,2600.0,4.7783965682088185,03203,0,1.0,100000.0,1,477839.6568208819,100000.0,1.0
11,6,0,600.0,-0.7741547391507605,03203,1,3.0,100000.0,1,-77415.47391507604,300000.0,3.0
11,7,0,680.0,-0.23001240986946514,03203,0,1.0,100000.0,1,-23001.240986946515,100000.0,1.0
11,8,0,600.0,-0.7741547391507605,03203,1,3.0,100000.0,1,-77415.47391507604,300000.0,3.0
11,9,0,680.0,-0.23001240986946514,03203,0,1.0,100000.0,1,-23001.240986946515,100000.0,1.0
12,1,1,900.0,-0.18336710524161287,03203,0,3.0,65000.0,6,-11918.861840704836,195000.0,18.0
12,2,0,2600.0,4.7783965682088185,03203,0,1.0,65000.0,6,310595.7769335732,65000.0,6.0
12,3,0,1200.0,1.1264316883600698,03203,0,1.0,65000.0,6,73218.05974340453,65000.0,6.0
12,4,0,1200.0,1.1264316883600698,03203,0,1.0,65000.0,6,73218.05974340453,65000.0,6.0
12,5,0,1200.0,1.1264316883600698,03203,0,1.0,65000.0,6,73218.05974340453,65000.0,6.0
12,6,0,600.0,-0.7741547391507605,03203,1,3.0,65000.0,6,-50320.05804479943,195000.0,18.0
12,7,0,650.0,-0.6756901334992359,03203,0,3.0,65000.0,6,-43919.858677450335,195000.0,18.0
12,8,0,650.0,-0.6756901334992359,03203,0,3.0,65000.0,6,-43919.858677450335,195000.0,18.0
12,9,0,1200.0,1.1264316883600698,03203,0,1.0,65000.0,6,73218.05974340453,65000.0,6.0
13,1,1,820.0,-0.29032020126903113,02904,0,2.0,51000.0,2,-14806.330264720587,102000.0,4.0
13,2,0,470.0,-0.7778071418467774,02904,0,1.0,51000.0,2,-39668.16423418564,51000.0,2.0
13,3,0,340.0,-1.1169181664041612,02904,0,1.0,51000.0,2,-56962.82648661222,51000.0,2.0
13,4,0,700.0,-0.5654469969549294,02904,0,2.0,51000.0,2,-28837.7968447014,102000.0,4.0
13,5,0,470.0,-0.7778071418467774,02904,0,1.0,51000.0,2,-39668.16423418564,51000.0,2.0
